uniqueID,drugName,condition,review,rating,date,usefulCount,trueSentiment
25128,Hylan g-f 20,Osteoarthritis,"""I've had both the cortisone shots and the Synvisc-One.  I believe they were equally painful, the Synvisc maybe slightly more, as the fluid seems to be quite a bit thicker so there was noticeably more pressure.  However, it's been well over 6 months and I haven't had any pain.  I've recommended it for my father and would recommend it if the normal cortisone shots don't seem to work any longer.""",10,26-Dec-14,56,positive
9965,Lo Loestrin Fe,Birth Control,"""I'm 26, first birth control pills I've ever used. I'm on my fourth month, getting close to starting the fifth pack. Pros thus far: no breast tenderness (they did increase in size), no acne (skin actually cleared up), no weight gain (I'm very active to begin with), no nausea or headaches, much lighter periods (prior to the pill, my periods were heavy enough where both a pad and a tampon were needed... Now a tampon alone is good enough!)
Cons: ever since starting it, I've been having two periods a month.. 15 day cycle and it's about two days longer than period prior to taking this pill. The pros definitely outweigh the con, but I can't stand having two periods a month!""",7,21-Sep-13,17,neutral
22966,Apremilast,Plaque Psoriasis,"""I have severe plaque psoriasis. I have tried coal tar shampoo, steroids, creams, lotions, injections to get rid of it. In less than 2 weeks I went from embarrassing plaque on my forehead, all over my scalp, behind my ears, hand, foot, chest and torso to the plaque being mostly gone, no more flaking skin, and the redness is starting to subside. I haven't felt this comfortable in my own skin in years. Yes some of the stomach issues aren't great but I'll take side effects that will go away once my body gets used to the medicine vs being embarrassed to go on dates.""",10,30-Nov-16,37,positive
170130,Quetiapine,Bipolar Disorde,"""I was diagnosed with bipolar, PTSD and depression. I was put on lithium and seroquel about 5 months ago. 
Lithium makes it so I don't feel .....anything. And seriously I take around 6pm and the next morning I feel like a zombie. Half the time I can't even get out of bed to go to work. All I want to do All day is sleep. I've told my doctor but he keeps telling me to give it some more time....... I have kids I have to take care of, but I feel so tired and lazy on seroquel. Only upside is it does help me sleep throughout then night instead of being awake depressing about my life. Lithium, not sure what it does to me but tries to block my emotional feelings which is good and bad at the same time. I still feel sadness though. Everyday.""",4,9-Feb-17,14,negative
93027,Vortioxetine,Major Depressive Disorde,"""This was definitely lifesaver for me. Before, i was suicidal, depressed and simply unable to focus on anything. This medicine helped me to regain back my focus and general improvement to mood as well. Despite the nausea that still persists 3 months into taking the medicine, this is something i wouldnt mind since it did help me to cope with my depression. Pricewise, it is indeed rather expensive (4 bucks per pill in my area) so do discuss it with your doctor.""",9,16-Aug-16,8,positive
24753,Amitriptyline / perphenazine,Anxiety,"""I was going through a divorce, a miscarriage and loss of an important job plus career change. I was breaking down physically as well as mentally and was hospitalized for testing and observation by a cardiologist who diagnosed me with hypothyroidism and prescribed Triavil for me. IT WAS AMAZINGLY my lifechanger! IN just DAYS (less than 1 week) I was an entirely NEW woman whose issues were ""healed"" by my healed brain and ability to ""handle"" all my life's issues fearlessly  in stride...thanks to my clear thinking triavil assisted body.  This older medication is far too under prescribed and had only 1 adverse side affect which was I was so happy my appetite was voracious and I put on weight which I lost after a year.  I Highly recommended TRIAVI""",10,2-Apr-15,13,positive
215185,Lubiprostone,"Constipation, Drug Induced","""I have been on opioid medications for 7 years for sensory neuropathy. I took Amitiza for one month and no effect.  when I took movantik and Amitiza together 9 weeks now I've been almost normal in bowel movements it's tremendous.""",10,21-Sep-17,1,positive
145042,Etonogestrel,Birth Control,"""I got my implant in October 2015.
First month my period seemed normal,
then like 2weeks later I got my period again, lasting longer then usual. I went for a week with no bleeding. And now I have been bleeding straight for 20days.
No wonder this is an effective birth control option, my boyfriend barely wants to have sex --unless we're in the shower. lol.but no joke, I don't like it and lately I have been feeling dizzy. I'm contacting my doctor this week to see what she has to say. But if by the beginning of the year my body has not ""regulated"" with this birth control, I will have it removed.""",1,2-Dec-15,8,negative
153389,Doxycycline,Acne,"""I get the occasional painful cyst-type acne (I am in my mid 20's and this is a recent development). I have pretty sensitive dry/normal combination skin and other treatments I have tried have just made me peely and flaky.

I have been using Citrus Clear Control products for a month. At first the treatment was a little drying so I went to using it every other night and now I am applying it every night following it up with the moisturizer. My skin is DEFINITELY clearer. It is still a little irritating every once in a while but I have not had any peeling/redness. It definitely stops the cyst-type acne from coming back.""",8,25-Feb-14,6,positive
209296,Geodon,Schizophrenia,"""When I first started taking Geodon, was very very tired all the time and pretty much felt like a zombie. Noticed a rapid increase in appetite and started getting constipated. Within five days, started getting twitches around my mouth and jaw on the seventh day my tongue swollen up, my jaw was locked and had a grape stuck in my mouth (which I was trying to eat). Ended up switching medication. Cant say my experience with it was positive - still have some mouth twitching even now and tightness in the jaw from it. If you start having twitches, tell your doctor IMMEDIATELY! Dont wait, it should be something they (the doctors) warn you about.""",2,28-Sep-09,34,negative
189001,Olmesartan,High Blood Pressure,"""I have been on Benicar for about a year now and I have to say it has helped my blood pressure. Blood pressure is 120-130 and over 70-75 average. My pressure was not dangerously high but my doctor recommended I go on it since it is in my family history, I am 40.""",8,14-Aug-13,64,positive
135135,Dapsone,Acne,"""Aczone is the best acne product to ever happen to me! I'm 23 and have tried nearly everything from Accutane, oral acne medications, creams, cleansers, masques, etc. for the first time in nearly ten years I have clear skin! The difference is Aczone. I use it in the morning under makeup or without and it controls the oil and reduces inflammation. It drys out my skin but doesn't flake or peel.""",8,22-Nov-11,4,positive
49136,Ethinyl estradiol / levonorgestrel,Birth Control,"""I'm going on my 3rd week taking this and for me it has caused, In  the first week or two, a lowered libido (sex drive) and vaginal dryness.. and I'm 16!! even when I'm with my bf and I'm turned on, I'm not even really wet at all.. and this causes irritating and painful sex unless you have lube. Before this I had no problem getting wet. This is the first brith control I've ever been on so I don't know if all this is supposed to go away after a couple or few months but honestly I don't think it's worth it. I've also been experiencing breast tenderness (usually in the morning, it feels like I'm going through puberty all over again lol) perhaps and little bit of breast enlargement (which hey, I'm not complaining about) and abit of mood swings""",4,1-Aug-16,2,negative
174303,Tri-Lo-Sprintec,Abnormal Uterine Bleeding,"""I had been on Ortho tri-cyclen lo since Sept. of last year (2015), and was relatively fine on it (occasional headaches but that was nothing out of the norm). Once put on generic in March 2016, I began having intense migraines 3-4 times a week, as well as extreme fatigue. I thought it was a side effect of a bad upper respiratory infection I'd had a month prior so I did not seek medical attention.



After two months of being on this pill with the intense migraines and fatigue, I had a minor stroke and was hospitalized for days. While I completely understand a small percentage of women are at risk taking birth control, I can't help but be concerned that none of the headaches/fatigue began till I switched to generic.""",1,10-Jul-16,2,negative
33157,Seasonique,Birth Control,"""I have been on Seasonique for about 5 months now. I haven't had much of a period but I'm like under 100 pounds so the doctor said it was normal. The last week I have been breaking out pretty bad and I have had major stomach pains for like 3 days straight. I thought I was pregnant because of the cramps but looking at the reviews I'm not the only one. I think my sex drive went down its been six weeks and haven't had the urge but I like the pill other than that.""",7,26-Oct-11,1,neutral
123582,Skyla,Birth Control,"""Like many others, I spent time reading A LOT of reviews because I was so scared of the pain during insertion. The actual insertion felt like a really quick, sharp jab (enough to make me say ""ow"" out loud but not unbearable.) It wasn't until right after insertion that I started having severe cramps. I had to lay there while she removed my Nexplanon (I was switching from Nexplanon to Skyla.) And afterwards, it took me awhile to even get up. The severe cramps lasted about an hour for me, and then were just mild for a few more hours. It's now been a few days and no cramps, no bleeding!! I truly believe it is worth it.""",9,19-Apr-17,1,positive
132670,Doxepin,Insomnia,"""I have been using generic Ambien for several years. Works = lot of problems. Doctor gave me samples of Silenor - went to sleep right away and no side effects in the morning.""",10,7-Feb-11,37,positive
91132,Botox,Overactive Bladde,"""I have been dealing overactive bladder for years. I tried different medications and they would either stop working or send my blood pressure sky high. My doctor and I decided to go with Botox. I know there is a chance of having to self cath. I asked to have a smaller amount than normal to see if I tolerate it. 

I did it yesterday. I initially had burning and some other things but that has stopped. Apart from being tired, I am ok. I am still urinating ok, which is good. I have an appointment in a few weeks to see if I am retaining urine. 

I will update when I go back.""",10,14-Dec-16,28,positive
51284,Azithromycin,Tonsillitis/Pharyngitis,"""I  was prescribed azithromycin for tonsilitis/phyrangitis. On day 4 with the z-pak and still can't eat can't even swallow my own saliva without being afraid it will hurt. This medication is completely useless my swelling hasn't gone down and the pus pockets are now on the right side of my throat.  I am in so much pain haven't eaten for 4 days""",1,4-Jul-15,29,negative
86711,Condylox,Condylomata Acuminata,"""Very good""",9,29-Mar-08,25,positive
15500,Ethinyl estradiol / norethindrone,Birth Control,"""I have currently been on Mircogestin fe 1/20 for 6 months now. At first when starting this medication I noticed a little bit of anxiety after the first 3 weeks but decided to let my body adjust to the hormones and see what happens. This birth control has caused me to have in insatiable appetite, This has also caused me weight gain of about 8 pounds and I have a pretty active lifestyle. Furthermore I am constantly fatigued and tired on this medication. When I do sleep it's restless with nightmares and very vivid dreams. The worst is the anxiety. I have never been anxious before but on this medication I have had severe anxiety and panic attacks which I never had before. I have stopped taking this medication because of this.""",1,22-Dec-16,4,negative
127282,Disulfiram,Alcohol Dependence,"""This is a wonderful drug and has helped me control the binges associated with alcohol.  I was a moderate-to-heavy drinker before this medication.  Now I have been completely sober for two weeks without any side effects.



I wanted to stop drinking but had problems in the evenings.  Since I have removed the ""option"" to drink by taking this medication in the mornings when my willpower is strong, it has helped tremendously.  """,8,9-Jun-08,163,positive
105509,Lamivudine / zidovudine,HIV Infection,"""Its a good medication for treating HIV never had a problem and it was well tolerable with no side affects.""",10,25-Aug-14,2,positive
146205,Suboxone,Opiate Dependence,"""I've been addicted to painkillers of all kinds since 1998 when I first hurt my back.  I would use up my prescription and then begin to steal them off of my husband who also took them. I then would buy them and spending an amazing amount on them it sickens me to think about how much.  I started Suboxone 3 days ago and feel amazing no withdrawal and no cravings. I would recommend to anyone with an opiate addiction.""",10,26-Dec-10,12,positive
113484,Bisacodyl,Constipation,"""It works, I'll say that.  However, I experienced horrible PAIN and discomfort.  Usually I have a high tolerance for pain.  I think a regular fleet enema is more gentle and just as effective.""",5,13-Oct-09,3,neutral
116664,Lamictal,Bipolar Disorde,"""I've been on this medication for 1 year or even 2 years with 300 mg. I still have extreme mood swings and it doesn't help at all, I want lithium or other bipolar medicine - this doesn't work at all for me. 

I'm really scared to gain weight while on some other medication because I already gained 20 kg from an antipsychotic medicine before but I can live with this. My bipolar illness gets worse and worse I still have a good medicine ""base"" tho. It's not as extreme as a couple of years ago but I'm only 19 years old so I'm looking forward trying something else.""",4,11-Jun-17,9,negative
113808,Tegretol,Bipolar Disorde,"""This drug killed my thyroid.  You should also be screened heavily for certain blood illnesses before taking and monitor your liver and kidneys.  A VERY poisonous drug.""",1,18-Apr-16,24,negative
127880,Phentermine,Weight Loss,"""Started this medication 2 days ago.about 3 weeks ago I fell down some stairs and hurt myself. Went in and my highest weight ever! (269.7#)
I started eating healthy to prevent Weight gain while nursing injuries. Saw the doctor Thursday 12/1 and prescribed phentermine (and thankfully down to 267#). I weighed in this morning at 263# 
For those discouraged, please don't forget this is to help maintain a healthy lifestyle change. I have arthritis in my feet so I'm hoping to Kickstart the weight loss to make exercise easier on my poor feet. Until then, I've been walking 30 minutes daily. I'll keep you all posted. Baby steps!""",10,4-Dec-16,9,positive
52058,Adipex-P,Weight Loss,"""Been on it for a week now and lost 8 pounds already, only thing is I think my body is getting use to the pill because the first three days It was hard to eat and now I'm starting to crave food again.""",6,10-May-14,146,neutral
203120,Fentanyl Transdermal System,Chronic Pain,"""Was on vicodin for years and was taking 8 a day. Doctors recommended  Fentanyl. I got immediately relief. I have to apply 1 every  72  hrs. 100mcg. For me it works but doesn't last  72 hrs. Should be able to overlap. My breakthrough med is morphine codone. Wish I could find a breakthrough  med that works for me. Chronic pain for  15-20 yrs.""",8,14-Sep-15,28,neutral
79254,Plan B One-Step,Emergency Contraception,"""Wow  this Pill is like a second opportunity after your stuff up !! So I Had sex on February 4 around 9:45am , he finished inside me & I flipped out I was a hot mess , I got the emergency contraceptive like an hour an half later , best take b4 72 hours the earlier the better . So I'm not going to tell you not to be nervous ok , shit happens .  I was nervous very emotional . I Didn't know when we're my ovulation days I don't keep track . Made me even more nervous. I prayed and just relaxed , less stress the better . For the first week I just got minor cramps , second day after I took it I was very nauseous. Almost hitting the second week I was breaking out and my cramps were more noticeable . Bam exactly a day b4 the second week  ! PERIOD !""",10,18-Feb-16,7,positive
43730,Calcipotriene,Psoriasis,"""I'v used Dovonex for about 20 years, I LOVE IT! It has never made the Psoriasis go completely away. It did come close though. 
Maybe if I could afford to use it as prescribed it would , but @ $238.00 a tube the cheapest around my area; I just can't afford it.
I stretch a tube till it's just keeping the take over at bay instead of driving it away! 
Dovonex truly works wonders.""",7,18-Sep-11,21,positive
105367,Carbamazepine,Bipolar Disorde,"""Didn't help with my mood swings. I was on 200mg twice daily, switched to Depakote 500 mg twice daily, and I felt improvement in the first 10 days. My mood is stable and my severe anxiety has disappeared. Also I see improvement in OCD and I now can better focus. I'm also on Seroquel 100mg twice daily.""",3,12-Jul-11,5,positive
26318,Sprintec,Birth Control,"""I started taking BC pills when I was 15 yrs old. Began using Sprintec when I was maybe 16 or 17. Either way I'm 22 now and am happy with my body and its' cycle. I get my period usually on time every 4 weeks (28 days). I do cramp, but lighter than off OC. I have never been pregnant to my knowledge, and I wouldn't say I'm remotely good with taking it on time or every day. Sprintec is very reliable in my opinion, I would recommend it to someone interested or looking at BC.""",8,13-Jan-16,1,positive
158869,Methylphenidate,ADHD,"""My experience with Concerta was unbelievable. I started getting hostile with everyone, banging things, flipping things, over throwing things. I had to have the police and EMT come take me to the hospital. """,1,27-Sep-11,18,negative
42250,Atenolol,High Blood Pressure,"""I know it's been at least 15 yrs taking this medication. It's the ONLY one I take. It does the job no anxiety and blood pressure low. I'm 48yrs old and it does seem like  I'm experience the few side affects now. I'm tired,  don't sleep well, sex drive is decreased. My biggest complaint about the medication is that All OUR doctor's give us absolutely NO homeopathic alternative!!!! I read All 4 pages of comments and no one has been offered a better solution.I know drugs help but the dependency is beyond belief. A person on here posted a comment about the pharmaceutical industry depend on All of US to use these medications. With out a better solution. To me we've become drug addicts. There's gotta be a better,Natural solution to our problems.""",6,25-Nov-16,35,negative
181069,Olopatadine,Seasonal Allergic Conjunctivitis,"""It is the best. It is very expensive my allergy doctor helps me by giving me samples sometimes. There a program to help.""",10,2-Jan-14,11,positive
17464,Ethinyl estradiol / etonogestrel,Birth Control,"""I stopped taking birth control pills because of the hassle of remembering to take them. My doctor recommended Nuvaring due to the convenience of using it and being a busy college student. However, two months after using it I had MAJOR abdominal cramps to the point where I couldn't walk. Turns out I had endometriosis and had to have surgery, it was not Nuvaring's fault. I was instructed to switch it out every 3 weeks instead of 4 to skip my periods; however, I have yet skipped a period and it has been 3 months since my surgery. I bleed for 2-3 weeks every time. I am switching birth controls to something more stronger since that is what my doctor recommended. Other than that, no other side effects at all.""",6,3-May-17,1,neutral
47634,Tapentadol,Pain,"""I have been living in pain for 7 years. Four back surgeries and still very little relieve. I am new to this medication, but so far it has worked great. It is really wonderful to have hope again!""",10,15-Mar-12,48,positive
91672,Xyrem,Narcolepsy,"""I have been on this medication for narcolepsy with cataplexy since 2013. It's the only drug to have helped me be able to keep driving, and be awake during the day when I'm supposed to and sleep so good at night. It's truly a blessing!!! The side effects are nonexistent for the most part.

I highly recommend it!!!""",10,25-Oct-15,25,positive
99937,Magnesium sulfate / potassium sulfate / sodium sulfate,Bowel Preparation,"""This medication should be outlawed for its horrible taste!!! I couldn't finish it all. And FYI for those of you worrying about SuPrep not working...my doctor said some people have no results until after the second cup!""",2,18-Jan-16,10,negative
179734,Adapalene / benzoyl peroxide,Acne,"""I've been using epiduo for 10 days today. I honestly have to say ""IT WORKS!"" I've had acne for as long as I can remember. It's started on my forehead and just started to work its way down my face. I had a combination of whiteheads, blackheads and dark spots EVERYWHERE! Now my forehead is clear and my cheeks are well on they're way. I'm experiencing the burning and itchy irritation as many others are. I think I'll keep using mine cause it cost so much and it actually works. It's like getting apart of your life you never really got to have. I wore less make up in the first 5 days. It sucks to use but it's worth having clear skin!""",9,21-Mar-16,7,positive
115977,Divalproex sodium,Migraine Prevention,"""I have been on Depakote ER for three weeks.  I've had 4 migraines during this time, which is less than before the Depakote ER.  My GP had me on three different medicines for prevention but the neurologist switched me to Depakote ER.  I've had a little weight gain. The problem is I'm on weight watchers and should be losing weight. There have been times where my hands have felt shaky (similar to too much caffeine intake).  I think its also effecting my vision. I'm going to call the doctor and ask to switch to something else. Basically its helped reduced my migraine frequency but not enough to live with the side effects.""",8,7-Sep-11,20,neutral
189403,Oxycodone,Pain,"""I see so many people here rating this medicine as a lifesaver, and especially thankful because it allows them to play with their kids. Its the same for me. I still have a very low quality of life and spend a lot of time in bed, but without it I would barely be human.""",7,23-Jul-12,102,positive
90533,Docosanol,Herpes Simplex,"""Abreva sucks I don't get cold sores myself but my boyfriend does and every time he used abreva like it says when you start to feel it coming on he'd use it but abreva seems to only make it WORSE and puff out. So some lady said to try GLY OXIDE you can find it at any drug store but it works 10000 times better than abreva. Just thought I'd leave this thought with some of you maybe you can try it too.""",1,31-Dec-15,17,negative
1653,Eluxadoline,Irritable Bowel Syndrome,"""I have taken both the 75 mg and the 100 mg Viberzi,  When I started on this medication, 75 mg it worked somewhat.  My diarrhea was slowed and the stool more solid.  However, after being on it for a month or a little longer the benefits decreased.  I went from having 3 to 4 bowel movements a day, to having 6 or more.  Usual pattern was first movement was the most solid, the next ones were more loose and runny.  My doctor increased the strength of Viberzi to the 100mg.  Same basic issues...worked good at first but after using for a while, I was back to having 6 or more movements with the first one the most solid.  I am again trying the lower dose as the cost of the 100mg was way too expensive, even with Medicare and my supplement drug plan.""",3,17-Mar-16,19,negative
53061,Bevacizumab,Colorectal Cance,"""Avastin has stopped progression of my colon cancer.
Cutting off the fresh blood supply and nutrition that feeds the main tumor.""",10,24-Jul-13,41,positive
439,Medroxyprogesterone,Amenorrhea,"""I have taken Provera once before to help regulate my period. My menstrual cycle is very irregular (I can go up to 6 months between cycles with some cycles lasting up to 3 months) and it seemed to have worked after the first time taking it. However, after six months or so my periods became irregular once again. I've just started taking it for the second time and it seems to be working, although I will have to say it's given me some pretty intense mood swings.""",9,12-Oct-13,11,neutral
75971,Pioglitazone,"Diabetes, Type 2","""I have been taking this drug for one month and I feel so much better and my sugar is in control. I noticed that my digestive problems mostly disappeared when I started taking this drug. My IBS is much better. The swelling and bloating in my abdomen has reduced greatly. So far I have not had any noticeable side effects. I take 15mg daily.""",10,18-Aug-08,37,positive
199719,Varenicline,Smoking Cessation,"""I had no side effects. It was so easy for me.""",10,13-May-17,4,positive
213636,Tioconazole,Vaginal Yeast Infection,"""So I purchased the monistat 1 ovule Monday night and inserted it around 9 something. As I was laying down I started to read the reviews on here and got scared for me life because I was scared that I would endure that burning and itching. I actually didn't have any problems with that... but the second time I put the external cream on I damn near died. It burned so bad that I hurried up and ran to the bathroom to take a shower. I think I used it too close in time... but it's now the next day and I feel wonderful no more itching or burning just discharge still from the medicine coming out""",9,3-May-17,8,positive
184899,Canagliflozin,"Diabetes, Type 2","""I was prescribed Invokana for high glucose (Prediabetes), not diabetic yet.  I have been on the medicine a little over a month.  I developed a yeast infection and my hair is shedding a lot--handfuls at a time. Dermatologist said it would shed for up to 10 more weeks. What a horrible side effect that is not mentioned anywhere!  I stopped taking the medicine.""",1,8-Sep-14,84,negative
172732,Clonazepam,Bipolar Disorde,"""Klonopin helps my social anxiety and generalized anxiety disorder associated with Bipolar Disorder I. I've been taking 1mg twice per day for 8 years and works great. I'm able to get things done without thinking something terrible is going to happen.""",10,30-Apr-15,55,positive
166960,Levonorgestrel,Birth Control,"""I have had the Skyla for about a year now and I must say when I got it inserted I thought I was going to die! The process was quick but the pain was unbearable after. I've always had bad cramps and heavy bleeding but now all of that has tapered off since I've had it so long. I haven't had a period in about a month but I can say the only thing I don't like is the heavy discharge. I'm 23 with one child and an IUD was my only choice due to health reasons. Good luck to you all ladies!""",9,4-Jul-16,4,neutral
175482,Augmentin,Strep Throat,"""Completely useless medication. Been taking this for 5 days and absolutely none of my symptoms have cleared up. This morning I woke up with a pounding headache and I am about to throw up. Avoid at all costs""",1,19-Aug-16,15,negative
190468,Vigamox,"Conjunctivitis, Bacterial","""I have difficulties using prescription eyedrops because most contain a preservative called benzalkonium chloride that I'm allergic too - my eyes get red, irritated and burn. This eye drop does not have the preservative. It was a life saver for my conjunctivitis! Within 2 days it started to clear up - the drops were easily tolerated.""",10,30-Jan-17,3,positive
23713,Chlorzoxazone,Muscle Spasm,"""I really don't think parafon forte helped me too well. I really didn't feel any different as far as the muscle spasms, because they were still as bad as they were before. I've switched to 2mg Valium as it has helped tremendously. Plus, Valium helps with my anxiety as well. A quick fact from what I read in my pamphlet on 2mg Valium that it's purposes are for muscle spasms, anxiety, and acute alcohol withdrawals. I never knew about it helping with acute alcohol withdrawals too. You learn something new everyday.""",5,31-Oct-09,28,negative
59151,Rotigotine,Restless Legs Syndrome,"""My last 5 years with RLS has has been one big circle - trying to find the right doctor who really knows something about the syndrome, thinking I found that doctor, changing meds which help for a few years then back to the nightly walks around the house, no sleep for days then the 'crash sleep' when the RŁS eases off, the miserable grogginess after the crash... Then I found a Movement Disorder Doctor who prescribed NEUPRO patches.  They also worked wonderfully for a year or so but I'm back into the 'circle.'  The NEUPRO patch is probably the best med I've tried so far but, unfortunately, it augmented too.  We're now trying a new form of Gabapentin in addition to the patch.  Hopefully this will do something to ease the nerves.""",5,7-Sep-16,10,neutral
94655,Abilify,Schizoaffective Disorde,"""Having increased hallucinations and paranoia, and feeling isolated.  this is making it hard to get out with people, and I have been on 10mg.  Good things are I am feeling more active in general, taking better care of myself.  Not too happy with the amount of voices that occur when on this med.  It has made me more hungry, and restless.""",4,27-Jan-16,12,neutral
115800,Divalproex sodium,Bipolar Disorde,"""I just took my first dose & am hopeful yet apprehensive. Hoping to see what others are experiencing.""",6,12-Jan-17,3,neutral
27139,Sklice,Head Lice,"""I used the product twice. I coated entire head as directed and let it sit for 40 minutes. The second time, I used a tube and a half and made sure it stayed on my head for the same time - far longer than the required 10 minutes before rinsing out, and didn't wash hair for two days. After both uses, I still felt itching, crawling. And this after going through the lice song and dance routine (washing, sterilizing everything I have ever come in contact with, passed by, looked at, breathed on, thought about, replacing combs, accessories, etc, etc, etc.). Several nits were found in my hair after this. My daughter did the same with her family. I pulled live lice from her hair last night. """,2,8-Jul-17,5,negative
189256,Oxycodone,Chronic Pain,"""I have chronic pancreatitis-cause unknown (I do not drink alcohol). The pain from this disease is constant and severe. I take Oxycontin 30 mg twice daily and it is very effective in controlling the pain and keeping it, for the most part, at a tolerable level (about 4-5 on the 1-10 pain scale). For occasional episodes of breakthrough pain, which can be very bad, I have oral Dilaudid 2 mg. I do not take this often, only when needed. It helps me avoid trips to the ER for pain control. Dilaudid is not often prescribed for home use. I'm under the care of a pain specialist. Neither my GI nor endocrinologist can prescribe schedule II narcotics. Chronic pancreatitis is one of the most painful diseases a person can have.""",9,11-May-14,103,positive
175032,Fingolimod,Multiple Sclerosis,"""I was in clinical trial and continued on Gilenya for 5 years after. Overall awesome medicine regarding management of my multiple sclerosis progression based on MRI of brain. Symptoms did worsen over time as it is not a cure and well progression happens. Made decision with Neuro to switch to another treatment (Aubagio) due to lesions showing on spine and a black hole showing on brain MRI - never had side effects to mention except maybe additional tiredness after dosing, switched to nights for 3 months but then went back to mornings. Blood pressure ran low from an hour till about 3 hours following dosage but never to a point of dizzy or passing out. Was usually 50/70 to 60/80 which freaked out nurses but my BP was always around 80-82. I recommend it!""",9,14-Nov-14,43,positive
95995,Sertraline,Depression,"""I was on Zoloft years 9 years ago for social anxiety and it worked great for me. I decided to get off it but slowly all my symptoms came back. Also got very depressed. Got back in Zoloft 7 months ago and I feel great again. I did have to get a night guard from my dentist. I chipped two from teeth and cracked a molar from grinding my teeth. 200mg daily.""",9,22-Mar-13,85,positive
